OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GPS BIIR-5  (PRN 22),2000-040A,2026-07-15T16:33:36.595296,2.00557849,.01205037,54.8484,214.0300,302.7446,41.0255,0,U,26407,999,19051,0,.47E-6,0
GPS BIIR-8  (PRN 16),2003-005A,2026-07-16T00:55:17.989824,2.00558980,.01482928,54.8788,213.8224,53.1718,318.3547,0,U,27663,999,17189,0,.44E-6,0
GPS BIIR-11 (PRN 19),2004-009A,2026-07-15T07:44:57.281280,2.00553680,.01171901,54.8064,274.5493,174.3466,193.0919,0,U,28190,999,16351,0,-.17E-6,0
GPS BIIR-13 (PRN 02),2004-045A,2026-07-15T06:03:08.669088,2.00557037,.01701848,55.1181,323.7660,317.0606,64.4184,0,U,28474,999,15899,0,-.92E-6,0
GPS BIIRM-1 (PRN 17),2005-038A,2026-07-16T06:40:53.963904,2.00563624,.01282296,54.8546,272.0021,296.4273,70.6506,0,U,28874,999,15242,0,-.22E-6,0
INMARSAT 4-F2 (SOUTHPAN/PRN 122),2005-044A,2026-07-16T07:09:36.848160,1.00270607,.00027647,5.1329,43.6631,62.2340,79.1277,0,U,28899,999,7581,0,-.273E-5,0
GPS BIIRM-2 (PRN 31),2006-042A,2026-07-15T22:14:42.476928,2.00568164,.0107212,54.7129,150.1979,55.1773,317.0416,0,U,29486,999,14497,0,.16E-6,0
GPS BIIRM-3 (PRN 12),2006-052A,2026-07-15T20:06:41.605056,2.00559692,.008474,54.9322,212.8704,91.0004,270.0084,0,U,29601,999,14398,0,.46E-6,0
GPS BIIRM-4 (PRN 15),2007-047A,2026-07-14T15:32:58.928064,2.00553904,.0167775,54.1153,78.9337,87.9759,274.0038,0,U,32260,999,13736,0,-.33E-6,0
COSMOS 2433 (720),2007-052A,2026-07-14T14:26:37.978944,2.13104145,.0003476,65.5599,315.0115,203.4693,156.5222,0,U,32275,999,14564,0,-.63E-6,0
COSMOS 2432 (719),2007-052B,2026-07-14T14:42:51.819264,2.13103094,.0007406,65.5760,315.1395,322.2973,350.1210,0,U,32276,999,14566,0,-.64E-6,0
GPS BIIRM-5 (PRN 29),2007-062A,2026-07-14T22:49:13.318176,2.00561560,.0036056,55.0097,273.0354,167.4938,179.2057,0,U,32384,999,13606,0,-.11E-6,0
COSMOS 2434 (721),2007-065A,2026-07-15T09:30:25.207776,2.13101170,.00012762,64.3200,190.9641,327.5918,171.4568,0,U,32393,999,14437,0,.54E-6,0
COSMOS 2436 (723),2007-065C,2026-07-15T04:32:36.170592,2.13099957,.00173142,64.3286,191.0436,353.5207,119.0574,0,U,32395,999,14432,0,.56E-6,0
GPS BIIRM-6 (PRN 07),2008-012A,2026-07-16T01:15:16.151328,2.00573136,.0211681,54.5002,148.7716,248.1586,109.5403,0,U,32711,999,13433,0,.15E-6,0
GPS BIIRM-8 (PRN 05),2009-043A,2026-07-14T13:26:31.947072,2.00552733,.005373,56.2274,26.3776,84.3592,285.8100,0,U,35752,999,12391,0,-.68E-6,0
COSMOS 2456 (730),2009-070A,2026-07-16T04:16:30.382752,2.13103569,.00036196,65.0282,69.9837,341.1750,196.1088,0,U,36111,999,12904,0,-.16E-6,0
COSMOS 2457 (733),2009-070B,2026-07-13T04:41:57.056928,2.13101172,.0004075,65.0120,69.9289,121.6619,54.8410,0,U,36112,999,12898,0,-.12E-6,0
COSMOS 2460 (732),2010-007C,2026-07-14T09:40:25.826880,2.13101628,.0001835,65.4032,313.5463,143.6915,240.9432,0,U,36402,999,12731,0,-.62E-6,0
GPS BIIF-1  (PRN 25),2010-022A,2026-07-15T08:58:33.645792,2.00563746,.01267238,54.2685,207.4265,66.1541,291.5416,0,U,36585,999,11815,0,.49E-6,0
BEIDOU-2 IGSO-1 (C06),2010-036A,2026-07-14T22:00:55.325664,1.00264343,.0059022,54.3063,162.7092,225.2803,342.1032,0,U,36828,999,5837,0,-.122E-5,0
BEIDOU-2 G4 (C04),2010-057A,2026-07-15T19:15:49.464576,1.00269871,.00056559,3.7161,68.7688,184.0793,129.6659,0,U,37210,999,5757,0,-.126E-5,0
BEIDOU-2 IGSO-2 (C07),2010-068A,2026-07-15T15:35:22.636320,1.00272942,.00569016,47.4956,271.4764,213.8035,150.3630,0,U,37256,999,5708,0,-.192E-5,0
BEIDOU-2 IGSO-3 (C08),2011-013A,2026-07-15T12:09:31.582656,1.00260311,.00351999,62.4464,39.8847,183.4921,358.8227,0,U,37384,999,5594,0,-.166E-5,0
GSAT-8 (GAGAN/PRN 127),2011-022A,2026-07-16T05:01:47.180640,1.00272000,.00026264,2.2042,81.4677,160.8675,182.2450,0,U,37605,999,5350,0,.73E-6,0
BEIDOU-2 IGSO-4 (C09),2011-038A,2026-07-12T21:52:21.720000,1.00279714,.01603423,54.6038,165.4445,231.4539,316.2369,0,U,37763,999,5490,0,-.17E-6,0
GSAT0101 (GALILEO-PFM),2011-060A,2026-07-15T14:11:05.797248,1.70475567,.0002223,56.9841,340.9916,61.9424,298.0655,0,U,37846,999,9160,0,-.101E-5,0
GSAT0102 (GALILEO-FM2),2011-060B,2026-07-15T12:19:38.977248,1.70475846,.00021082,56.9849,340.9943,7.4765,350.6813,0,U,37847,999,9160,0,-.101E-5,0
COSMOS 2476 (744),2011-064A,2026-07-16T07:10:37.185600,2.13103672,.00221317,65.2862,71.8891,235.9107,302.4557,0,U,37867,999,11438,0,-.15E-6,0
COSMOS 2477 (745),2011-064B,2026-07-15T03:41:41.820000,2.13102912,.0019117,65.2921,72.0075,236.8947,323.2552,0,U,37868,999,11435,0,-.1E-6,0
COSMOS 2475 (743),2011-064C,2026-07-15T05:33:11.820384,2.13101755,.002484,65.2989,72.0268,251.2449,323.3113,0,U,37869,999,11436,0,-.1E-6,0
BEIDOU-2 IGSO-5 (C10),2011-073A,2026-07-02T17:30:18.330912,1.00270596,.01145273,47.6496,271.3544,222.0502,141.5350,0,U,37948,999,5329,0,-.128E-5,0
